# total, maintenance, tax, house_rent
12320	3306	9015	30050
12341	3311	9030	30100
12362	3317	9045	30150
12382	3322	9060	30201
12403	3328	9075	30251
12424	3333	9090	30301
12444	3339	9106	30352
12465	3344	9121	30402
12486	3350	9136	30453
12507	3355	9151	30504
12527	3361	9166	30555
12548	3367	9182	30606
12569	3372	9197	30657
12590	3378	9212	30708
12611	3383	9228	30759
12632	3389	9243	30810
12653	3395	9258	30861
12674	3400	9274	30913
12695	3406	9289	30964
12717	3412	9305	31016
12738	3417	9320	31068
12759	3423	9336	31119
12780	3429	9351	31171
12802	3435	9367	31223
12823	3440	9383	31275
12844	3446	9398	31327
12866	3452	9414	31380
12887	3458	9430	31432
12909	3463	9445	31484
12930	3469	9461	31537
12952	3475	9477	31589
12973	3481	9493	31642
12995	3486	9508	31695
13017	3492	9524	31748
13038	3498	9540	31801
13060	3504	9556	31854
13082	3510	9572	31907
13104	3516	9588	31960
13125	3521	9604	32013
13147	3527	9620	32066
13169	3533	9636	32120
13191	3539	9652	32173
13213	3545	9668	32227
13235	3551	9684	32281
13257	3557	9700	32335
13279	3563	9717	32388
13301	3569	9733	32442
13324	3575	9749	32496
13346	3581	9765	32551
13368	3587	9781	32605
13390	3593	9798	32659
13413	3598	9814	32714
13435	3604	9830	32768
13457	3611	9847	32823
13480	3617	9863	32877
13502	3623	9880	32932
13525	3629	9896	32987
13547	3635	9913	33042
13570	3641	9929	33097
13592	3647	9946	33152
13615	3653	9962	33208
13638	3659	9979	33263
13661	3665	9996	33318
13683	3671	10012	33374
13706	3677	10029	33430
13729	3683	10046	33485
13752	3690	10062	33541
13775	3696	10079	33597
13798	3702	10096	33653
13821	3708	10113	33709
13844	3714	10130	33765
13867	3720	10146	33822
13890	3727	10163	33878
13913	3733	10180	33934
13936	3739	10197	33991
13960	3745	10214	34048
13983	3751	10231	34104
14006	3758	10248	34161
14029	3764	10265	34218
14053	3770	10283	34275
14076	3777	10300	34332
14100	3783	10317	34389
14123	3789	10334	34447
14147	3795	10351	34504
14170	3802	10369	34562
14194	3808	10386	34619
14218	3814	10403	34677
14241	3821	10420	34735
14265	3827	10438	34793
14289	3834	10455	34851
14313	3840	10473	34909
14336	3846	10490	34967
14360	3853	10508	35025
14384	3859	10525	35084
14408	3866	10543	35142
14432	3872	10560	35201
14456	3879	10578	35259
14480	3885	10595	35318
14505	3891	10613	35377
14529	3898	10631	35436
14553	3904	10648	35495
14577	3911	10666	35554
14601	3917	10684	35613
14626	3924	10702	35673
14650	3931	10720	35732
14675	3937	10738	35792
14699	3944	10755	35851
14724	3950	10773	35911
14748	3957	10791	35971
14773	3963	10809	36031
14797	3970	10827	36091
14822	3977	10845	36151
14847	3983	10863	36211
14871	3990	10882	36272
14896	3997	10900	36332
14921	4003	10918	36393
14946	4010	10936	36453
14971	4017	10954	36514
14996	4023	10973	36575
15021	4030	10991	36636
15046	4037	11009	36697
15071	4043	11027	36758
15096	4050	11046	36819
15121	4057	11064	36881
15146	4064	11083	36942
15172	4070	11101	37004
15197	4077	11120	37066
15222	4084	11138	37127
15248	4091	11157	37189
15273	4098	11175	37251
15298	4104	11194	37313
15324	4111	11213	37375
15349	4118	11231	37438
15375	4125	11250	37500
15401	4132	11269	37563
15426	4139	11288	37625
15452	4146	11306	37688
15478	4153	11325	37751
15504	4160	11344	37814
15529	4166	11363	37877
15555	4173	11382	37940
15581	4180	11401	38003
15607	4187	11420	38066
15633	4194	11439	38130
15659	4201	11458	38193
15685	4208	11477	38257
15712	4215	11496	38321
15738	4222	11515	38385
15764	4229	11535	38449
15790	4236	11554	38513
15817	4243	11573	38577
15843	4251	11592	38641
15869	4258	11612	38706
15896	4265	11631	38770
15922	4272	11650	38835
15949	4279	11670	38899
15975	4286	11689	38964
16002	4293	11709	39029
16029	4300	11728	39094
16055	4308	11748	39159
16082	4315	11767	39225
16109	4322	11787	39290
16136	4329	11807	39356
16163	4336	11826	39421
16190	4344	11846	39487
16217	4351	11866	39553
16244	4358	11886	39619
16271	4365	11905	39685
16298	4373	11925	39751
16325	4380	11945	39817
16352	4387	11965	39883
16379	4394	11985	39950
16407	4402	12005	40016
16434	4409	12025	40083
16461	4416	12045	40150
16489	4424	12065	40217
16516	4431	12085	40284
16544	4439	12105	40351
16571	4446	12125	40418
16599	4453	12146	40486
16627	4461	12166	40553
16654	4468	12186	40621
16682	4476	12207	40688
16710	4483	12227	40756
16738	4491	12247	40824
16766	4498	12268	40892
16794	4506	12288	40960
16822	4513	12309	41029
16850	4521	12329	41097
16878	4528	12350	41165
16906	4536	12370	41234
16934	4543	12391	41303
16962	4551	12412	41372
16991	4558	12432	41441
17019	4566	12453	41510
17047	4574	12474	41579
17076	4581	12494	41648
17104	4589	12515	41718
17133	4597	12536	41787
17161	4604	12557	41857
17190	4612	12578	41927
17219	4620	12599	41996
17247	4627	12620	42066
17276	4635	12641	42137
17305	4643	12662	42207
17334	4650	12683	42277
17362	4658	12704	42348
17391	4666	12725	42418
17420	4674	12747	42489
17449	4682	12768	42560
17479	4689	12789	42631
17508	4697	12810	42702
17537	4705	12832	42773
17566	4713	12853	42844
17595	4721	12875	42915
17625	4729	12896	42987
17654	4736	12918	43059
17683	4744	12939	43130
17713	4752	12961	43202
17742	4760	12982	43274
17772	4768	13004	43346
17802	4776	13026	43419
17831	4784	13047	43491
17861	4792	13069	43564
17891	4800	13091	43636
17921	4808	13113	43709
17950	4816	13135	43782
17980	4824	13156	43855
18010	4832	13178	43928
18040	4840	13200	44001
18070	4848	13222	44074
18101	4856	13244	44148
18131	4864	13266	44221
18161	4872	13289	44295
18191	4881	13311	44369
18222	4889	13333	44443
18252	4897	13355	44517
18282	4905	13377	44591
18313	4913	13400	44665
18343	4921	13422	44740
18374	4930	13444	44814
18405	4938	13467	44889
18435	4946	13489	44964
18466	4954	13512	45039
18497	4963	13534	45114
18528	4971	13557	45189
18558	4979	13579	45264
18589	4987	13602	45340
18620	4996	13625	45415
18651	5004	13647	45491
18682	5012	13670	45567
18714	5021	13693	45643
18745	5029	13716	45719
18776	5037	13739	45795
18807	5046	13761	45871
18839	5054	13784	45948
18870	5063	13807	46025
18902	5071	13830	46101
18933	5080	13853	46178
18965	5088	13877	46255
18996	5097	13900	46332
19028	5105	13923	46409
19060	5114	13946	46487
19091	5122	13969	46564
19123	5131	13993	46642
19155	5139	14016	46720
19187	5148	14039	46797
19219	5156	14063	46875
19251	5165	14086	46953
19283	5173	14110	47032
19315	5182	14133	47110
19347	5191	14157	47189
19380	5199	14180	47267
19412	5208	14204	47346
19444	5217	14227	47425
19477	5225	14251	47504
