# Net worth of stock investment, increment
3654619	36437
3709481	36407
3764588	36378
3819940	36347
3875539	36318
3931386	36288
3987483	36259
4043831	36229
4100430	36199
4157281	36168
4214386	36138
4271748	36109
4329365	36078
4387240	36048
4445374	36018
4503769	35988
4562426	35958
4621344	35927
4680528	35897
4739977	35867
4799691	35835
4859674	35806
4919926	35775
4980450	35745
5041245	35714
5102312	35683
5163654	35652
5225272	35622
5287167	35590
5349339	35559
5411793	35529
5474527	35498
5537542	35465
5600841	35434
5664425	35403
5728296	35372
5792455	35341
5856904	35310
5921643	35278
5986675	35247
6051999	35215
6117619	35184
6183535	35152
6249748	35120
6316260	35088
6383075	35058
6450191	35026
6517611	34994
6585335	34961
6653366	34929
6721705	34898
6790352	34864
6859310	34832
6928581	34801
6998167	34769
7068068	34737
7138286	34704
7208823	34672
7279679	34639
7350858	34607
7422358	34573
7494184	34541
7566336	34509
7638815	34475
7711623	34442
7784764	34410
7858236	34377
7932043	34344
8006186	34311
8080666	34278
8155486	34245
8230644	34210
8306146	34178
8381993	34145
8458184	34111
8534723	34077
8611610	34044
8688850	34011
8766441	33977
8844387	33944
8922689	33911
9001349	33877
9080367	33842
9159746	33808
9239488	33775
9319596	33741
9400068	33706
9480909	33672
9562120	33638
9643702	33604
9725659	33570
9807989	33535
9890699	33502
9973786	33466
10057255	33433
10141105	33397
10225341	33364
10309963	33328
10394972	33293
10480372	33259
10566163	33223
10652349	33189
10738931	33154
10825910	33119
10913290	33085
11001070	33049
11089255	33014
11177844	32978
11266841	32943
11356247	32907
11446064	32872
11536296	32837
11626942	32801
11718007	32766
11809492	32731
11901396	32694
11993726	32659
12086481	32623
12179663	32587
12273275	32551
12367319	32515
12461796	32478
12556710	32443
12652062	32406
12747855	32371
12844089	32333
12940768	32297
13037894	32261
13135469	32225
13233496	32188
13331975	32151
13430910	32115
13530302	32077
13630155	32041
13730470	32004
13831250	31968
13932496	31930
14034211	31893
14136397	31856
14239056	31818
14342191	31781
14445805	31744
14549900	31707
14654477	31669
14759539	31632
14865089	31594
14971128	31556
15077659	31518
15184686	31481
15292210	31443
15400233	31405
15508759	31368
15617789	31330
15727327	31292
15837372	31253
15947931	31216
16059004	31177
16170594	31139
16282702	31100
16395334	31063
16508489	31023
16622171	30985
16736383	30946
16851126	30907
16966405	30869
17082221	30830
17198577	30791
17315475	30751
17432919	30713
17550911	30674
17669454	30635
17788549	30595
17908201	30557
18028412	30517
18149183	30477
18270520	30438
18392422	30398
18514895	30359
18637940	30319
18761560	30279
18885759	30240
19010538	30199
19135903	30161
19261853	30120
19388392	30080
19515524	30040
19643252	30000
19771577	29959
19900504	29919
20030035	29879
20160172	29838
20290919	29797
20422279	29757
20554254	29715
20686849	29675
20820066	29635
20953908	29593
21088377	29552
21223478	29512
21359213	29470
21495585	29429
21632599	29389
21770256	29347
21908559	29305
22047512	29264
22187117	29222
22327379	29180
22468300	29139
22609885	29098
22752136	29056
22895055	29013
23038646	28971
23182914	28930
23327861	28888
23473492	28847
23619807	28804
23766811	28761
23914507	28719
24062900	28677
24211992	28634
24361787	28592
24512288	28549
24663498	28506
24815420	28463
24968061	28421
25121421	28378
25275505	28335
25430315	28291
25585855	28248
25742131	28205
25899144	28162
26056899	28118
26215398	28075
26374648	28032
26534650	27989
26695408	27945
26856925	27901
27019206	27857
27182255	27814
27346074	27769
27510669	27726
27676043	27682
27842199	27637
28009141	27593
28176873	27549
28345400	27505
28514724	27460
28684850	27415
28855783	27372
29027525	27326
29200080	27281
29373453	27237
29547648	27192
29722669	27147
29898520	27102
30075204	27056
30252726	27011
30431091	26966
30610302	26921
30790364	26876
30971281	26831
31153056	26785
31335694	26739
31519199	26693
31703576	26648
31888828	26601
32074961	26556
32261978	26510
32449884	26464
32638683	26417
32828379	26371
33018978	26325
33210482	26278
33402898	26232
33596228	26185
33790478	26138
33985653	26092
34181756	26045
34378794	25999
34576768	25950
34775685	25904
34975550	25857
35176367	25810
35378140	25763
35580875	25715
35784575	25668
35989247	25621
36194894	25573
36401521	25525
36609133	25477
36817736	25430
37027334	25382
37237930	25333
37449531	25285
37662142	25237
37875768	25189
38090412	25140
38306082	25092
38522781	25044
38740516	24996
38959292	24948
39179112	24899
39399981	24850
39621906	24801
39844892	24752
40068942	24702
40294063	24653
40520260	24604
40747539	24555
40975905	24506
41205364	24457
41435920	24407
41667579	24358
41900347	24308
42134227	24257
42369227	24208
42605352	24158
42842608	24109
43080999	24058
43320534	24009
43561213	23957
43803046	23907
44046037	23857
44290192	23806
44535518	23756
44782019	23705
45029702	23654
45278571	23603
45528635	23553
45779896	23501
46032364	23451
46286042	23399
46540937	23348
46797054	23296
47054402	23246
47312984	23194
47572806	23142
47833876	23090
48096198	23038
48359780	22986
48624628	22934
48890748	22883
49158146	22830
49426829	22778
49696804	22727
49968074	22673
50240648	22621
50514534	22569
50789734	22515
51066258	22463
51344111	22410
51623300	22357
51903832	22304
52185714	22251
52468951	22198
52753551	22144
53039520	22091
53326865	22037
53615594	21985
53905713	21931
